Date,Open,High,Low,Close,Volume
2020-06-30 08:45:00,11470.0,11477.0,11461.0,11468.0,1449
2020-06-30 08:46:00,11469.0,11472.0,11462.0,11462.0,608
2020-06-30 08:47:00,11463.0,11463.0,11460.0,11460.0,322
2020-06-30 08:48:00,11460.0,11461.0,11456.0,11456.0,484
2020-06-30 08:49:00,11456.0,11458.0,11452.0,11453.0,401
2020-06-30 08:50:00,11453.0,11457.0,11453.0,11453.0,362
2020-06-30 08:51:00,11454.0,11454.0,11449.0,11449.0,468
2020-06-30 08:52:00,11450.0,11458.0,11449.0,11455.0,334
2020-06-30 08:53:00,11455.0,11457.0,11446.0,11448.0,387
2020-06-30 08:54:00,11448.0,11453.0,11446.0,11447.0,313
2020-06-30 08:55:00,11448.0,11453.0,11447.0,11450.0,312
2020-06-30 08:56:00,11451.0,11451.0,11449.0,11450.0,149
2020-06-30 08:57:00,11450.0,11452.0,11447.0,11448.0,163
2020-06-30 08:58:00,11448.0,11452.0,11448.0,11448.0,236
2020-06-30 08:59:00,11448.0,11449.0,11438.0,11440.0,751
2020-06-30 09:00:00,11441.0,11454.0,11430.0,11448.0,1741
2020-06-30 09:01:00,11448.0,11458.0,11444.0,11453.0,874
2020-06-30 09:02:00,11451.0,11452.0,11443.0,11448.0,500
2020-06-30 09:03:00,11448.0,11450.0,11442.0,11446.0,354
2020-06-30 09:04:00,11446.0,11453.0,11445.0,11453.0,337
2020-06-30 09:05:00,11452.0,11454.0,11445.0,11450.0,373
2020-06-30 09:06:00,11449.0,11456.0,11449.0,11452.0,420
2020-06-30 09:07:00,11452.0,11454.0,11446.0,11447.0,282
2020-06-30 09:08:00,11447.0,11454.0,11447.0,11453.0,210
2020-06-30 09:09:00,11454.0,11458.0,11448.0,11449.0,443
2020-06-30 09:10:00,11449.0,11455.0,11438.0,11445.0,823
2020-06-30 09:11:00,11446.0,11446.0,11431.0,11440.0,712
2020-06-30 09:12:00,11441.0,11451.0,11439.0,11447.0,567
2020-06-30 09:13:00,11448.0,11450.0,11443.0,11445.0,392
2020-06-30 09:14:00,11443.0,11454.0,11442.0,11452.0,681
2020-06-30 09:15:00,11453.0,11453.0,11445.0,11446.0,474
2020-06-30 09:16:00,11446.0,11451.0,11438.0,11441.0,540
2020-06-30 09:17:00,11441.0,11448.0,11439.0,11440.0,282
2020-06-30 09:18:00,11439.0,11448.0,11436.0,11443.0,360
2020-06-30 09:19:00,11443.0,11445.0,11439.0,11439.0,201
2020-06-30 09:20:00,11439.0,11447.0,11439.0,11447.0,338
2020-06-30 09:21:00,11447.0,11452.0,11445.0,11447.0,425
2020-06-30 09:22:00,11447.0,11449.0,11443.0,11446.0,205
2020-06-30 09:23:00,11445.0,11448.0,11440.0,11440.0,197
2020-06-30 09:24:00,11440.0,11446.0,11438.0,11445.0,312
2020-06-30 09:25:00,11444.0,11447.0,11443.0,11446.0,166
2020-06-30 09:26:00,11446.0,11453.0,11446.0,11449.0,431
2020-06-30 09:27:00,11450.0,11457.0,11448.0,11455.0,655
2020-06-30 09:28:00,11454.0,11455.0,11452.0,11452.0,142
2020-06-30 09:29:00,11452.0,11456.0,11450.0,11454.0,244
2020-06-30 09:30:00,11455.0,11460.0,11454.0,11454.0,762
2020-06-30 09:31:00,11454.0,11460.0,11452.0,11456.0,403
2020-06-30 09:32:00,11456.0,11457.0,11446.0,11449.0,475
2020-06-30 09:33:00,11449.0,11451.0,11441.0,11441.0,438
2020-06-30 09:34:00,11441.0,11444.0,11440.0,11440.0,609
2020-06-30 09:35:00,11440.0,11446.0,11438.0,11443.0,400
2020-06-30 09:36:00,11444.0,11450.0,11442.0,11447.0,354
2020-06-30 09:37:00,11448.0,11452.0,11447.0,11450.0,323
2020-06-30 09:38:00,11450.0,11451.0,11448.0,11450.0,104
2020-06-30 09:39:00,11450.0,11457.0,11449.0,11455.0,574
2020-06-30 09:40:00,11455.0,11463.0,11452.0,11453.0,856
2020-06-30 09:41:00,11454.0,11456.0,11445.0,11446.0,433
2020-06-30 09:42:00,11447.0,11449.0,11445.0,11446.0,191
2020-06-30 09:43:00,11446.0,11446.0,11440.0,11443.0,492
2020-06-30 09:44:00,11442.0,11446.0,11441.0,11442.0,378
2020-06-30 09:45:00,11441.0,11445.0,11425.0,11427.0,2116
2020-06-30 09:46:00,11428.0,11430.0,11425.0,11425.0,566
2020-06-30 09:47:00,11425.0,11434.0,11425.0,11430.0,481
2020-06-30 09:48:00,11429.0,11430.0,11423.0,11424.0,589
2020-06-30 09:49:00,11424.0,11424.0,11417.0,11420.0,1056
2020-06-30 09:50:00,11420.0,11424.0,11417.0,11421.0,536
2020-06-30 09:51:00,11421.0,11425.0,11420.0,11424.0,330
2020-06-30 09:52:00,11425.0,11429.0,11425.0,11429.0,358
2020-06-30 09:53:00,11428.0,11430.0,11423.0,11424.0,306
2020-06-30 09:54:00,11423.0,11423.0,11415.0,11420.0,655
2020-06-30 09:55:00,11419.0,11420.0,11415.0,11416.0,349
2020-06-30 09:56:00,11415.0,11421.0,11414.0,11418.0,382
